"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1","4600 LIVINGSTON ROAD SE WASHINGTON, DC 20032 UNITED STATES",38.8239036,-77.0030868,38.8238536,38.8239536,-77.0031368,-77.0030368
"2","4300 7TH STREET SE WASHINGTON, DC 20032 UNITED STATES",38.8277923449674,-76.9969813514369,38.827742344967,38.827842344967,-76.997031351437,-76.996931351437
"3","1100 FLORIDA AVENUE NW WASHINGTON, DC 20009 UNITED STATES",38.9206382,-77.0273995,38.9205882,38.9206882,-77.0274495,-77.0273495
"4","1600 P STREET NW WASHINGTON, DC 20036 UNITED STATES",38.90956,-77.036683,38.90951,38.90961,-77.036733,-77.036633
"5","400 LAMONT STREET NW WASHINGTON, DC 20010 UNITED STATES",38.931396,-77.018644,38.931346,38.931446,-77.018694,-77.018594
"6","1800 CONNECTICUT AVENUE NW WASHINGTON, DC 20009 UNITED STATES",38.9143854,-77.0465065,38.9143354,38.9144354,-77.0465565,-77.0464565
"7","300 H STREET NE WASHINGTON, DC 20002 UNITED STATES",38.90073275,-77.0017729089624,38.900332,38.9009126,-77.0019037,-77.0011424
"8","900 8TH STREET NE WASHINGTON, DC 20002 UNITED STATES",38.9014646,-76.9952440232456,38.9014274,38.9014866,-76.9953711,-76.995117
"9","200 Q STREET NE WASHINGTON, DC 20002 UNITED STATES",38.91130675,-77.0028950228258,38.9111186,38.9116952,-77.0033928,-77.0022363
"10","1900 16TH STREET SE WASHINGTON, DC 20020 UNITED STATES",38.86702435,-76.981993949994,38.8669013,38.8671476,-76.982085,-76.9819091
"11","1800 14TH STREET NW WASHINGTON, DC 20009 UNITED STATES",38.914217,-77.032057,38.914167,38.914267,-77.032107,-77.032007
"12","1300 T STREET NW WASHINGTON, DC 20009 UNITED STATES",38.9155724,-77.0428839,38.9155717,38.915574,-77.0434257,-77.041658
"13","UNIT O STREET NW WASHINGTON, DC 20001 UNITED STATES",38.908574,-77.02397,38.9085678,38.908576,-77.029631,-77.018925
"14","1500 TUBMAN ROAD SE WASHINGTON, DC 20020 UNITED STATES",38.848414,-76.982442,38.848364,38.848464,-76.982492,-76.982392
"15","4200 7TH STREET SE WASHINGTON, DC 20032 UNITED STATES",38.829066,-76.996145,38.829016,38.829116,-76.996195,-76.996095
"16","3500 V STREET NE WASHINGTON, DC 20018 UNITED STATES",38.9186636739061,-76.9578020870369,38.918613673906,38.918713673906,-76.957852087037,-76.957752087037
"17","2000 MISSISSIPPI AVENUE SE WASHINGTON, DC 20020 UNITED STATES",38.8441111,-76.9750034763461,38.8440633,38.844149,-76.975047,-76.9749586
"18","3800 V STREET SE WASHINGTON, DC 20020 UNITED STATES",38.86444995,-76.951891925036,38.8644152,38.8644909,-76.9519905,-76.9517934
"19","1300 SOUTHERN AVENUE SE WASHINGTON, DC 20032 UNITED STATES",38.83463,-76.984242,38.83458,38.83468,-76.984292,-76.984192
"20","4200 7TH STREET SE WASHINGTON, DC 20032 UNITED STATES",38.829066,-76.996145,38.829016,38.829116,-76.996195,-76.996095
"21","800 10TH STREET NW WASHINGTON, DC 20001 UNITED STATES",38.9001238,-77.0261469,38.9000738,38.9001738,-77.0261969,-77.0260969
"22","1200 MAPLE VIEW PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.863754,-76.990219,38.863704,38.863804,-76.990269,-76.990169
"23","1000 12TH STREET SE WASHINGTON, DC 20003 UNITED STATES",38.8781638,-76.9896981415875,38.8780384,38.878288,-76.9900592,-76.9893462
"24","4100 WISCONSIN AVENUE NW WASHINGTON, DC 20016 UNITED STATES",38.9425247,-77.0776404605145,38.9423388,38.9427299,-77.0781171,-77.07705
"25","3000 14TH STREET NW WASHINGTON, DC 20009 UNITED STATES",38.927657,-77.032632,38.927607,38.927707,-77.032682,-77.032582
"26","1300 POTOMAC AVENUE SE WASHINGTON, DC 20003 UNITED STATES",38.879666,-76.987364,38.879616,38.879716,-76.987414,-76.987314
"27","UNIT BATES STREET NW WASHINGTON, DC 20001 UNITED STATES",38.91038,-77.012163,38.91038,38.910382,-77.0151812,-77.0090993
"28","1600 ARGONNE PLACE NW WASHINGTON, DC 20009 UNITED STATES",38.926806,-77.037634,38.926756,38.926856,-77.037684,-77.037584
"29","200 MASSACHUSETTS AVENUE NW WASHINGTON, DC 20001 UNITED STATES",38.899207,-77.013843,38.899157,38.899257,-77.013893,-77.013793
"30","200 N STREET SW WASHINGTON, DC 20024 UNITED STATES",38.874571,-77.015866,38.874521,38.874621,-77.015916,-77.015816
"31","1800 M STREET NW WASHINGTON, DC 20036 UNITED STATES",38.905139,-77.041939,38.905089,38.905189,-77.041989,-77.041889
"32","1400 HOWARD ROAD SE WASHINGTON, DC 20020 UNITED STATES",38.859758,-76.989277,38.859708,38.859808,-76.989327,-76.989227
"33","1300 5TH STREET NE WASHINGTON, DC 20002 UNITED STATES",38.908846,-76.9982205,38.908796,38.908896,-76.9982705,-76.9981705
"34","800 7TH STREET NE WASHINGTON, DC 20002 UNITED STATES",38.900328,-76.996273,38.900278,38.900378,-76.996323,-76.996223
